Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
ffsQ@DFN@r\bbbbbTRbrNJgVcYH\uAPEPEDeEHKBXkRJ@@	[C@@H](c1ccnc2ccccc12)([C@@H]1[N@@H+]2C[C@H]([C@@H](CC2)C1)C=C)O	LocE_ZINC000000001153_rank1.pdb	295.405	0.5707	-3.079	3	2	239.89	0.17366	37.56	-3.3772	0.54545	0.18923	0.83968	3	
foAaB@MJAHYEDeBeLiQegP@SMTPH\`	C(=C\c1cccc(F)c1)/C(=O)NC1CC1	LocE_ZINC000000001156_rank1.pdb	205.231	2.0581	-3.069	2	1	161.84	0.15138	29.1	-0.44202	0.66667	0.35169	0.56446	3	
fhq`P@D@TYrSZrlj|mML@QUPBFH	c1(cc(cc(c1OC)OC)/C=C/C(=O)N)OC	LocE_ZINC000000001157_rank1.pdb	237.254	0.8661	-2.129	5	1	192.81	0.30242	70.78	-1.0659	0.58824	0.33642	0.6715	5	
fdea@@D@rJZJJJIQXjlXOhmT@PP@`@@	[C@H]1(c2ccccc2C=Cc2ccccc12)C(=O)N	LocE_ZINC000000001162_rank1.pdb	235.285	2.0749	-3.869	2	1	184.79	0.1532	43.09	1.2716	0.44444	0.1957	0.75107	1	
fncpa@NJSHpH`L`drnmmsMmQfRp@TtpQAP@@@	C(=O)(NC(=O)Nc1ccc(Cl)cc1)c1c(cccc1F)N(C)C	LocE_ZINC000000001167_rank1.pdb	335.765	3.196	-4.675	5	2	248.03	0.21187	61.44	1.1765	0.56522	0.47457	0.75832	3	
foAqB@NJtxDPdrnsNtYht@ESTd@@	CN1C(=N)N(CC1=O)c1ccc(Cl)cc1	LocE_ZINC000000001170_rank1.pdb	223.662	1.0923	-1.795	4	1	159.86	0.22357	47.4	4.4396	0.6	0.41614	0.7268	1	
fdy`a@EBdCDcDYEDeLhUDejL|F@Bf`@`@@	O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O	LocE_ZINC000000001178_rank1.pdb	326.576	3.7926	-4.402	3	2	202.63	0.18556	49.33	-0.97707	0.61111	0.47361	0.68976	2	
ffcqa@G^sIMPQAHcHhhlmDedhhbsfcYKA@TuMSRLBEh	c1(ccc(o1)c1ccc(Cl)c(Cl)c1)/C=N/N1CC(=O)NC1=O	LocE_ZINC000000001181_rank1.pdb	338.149	2.9462	-5.285	6	1	235.83	0.28287	74.91	8.0499	0.63636	0.36142	0.77625	3	
fjmaBD@bADAeIe]iU_ehrwh@JjjjjH@@	C1(CCCCC1)(c1ccc(Cl)cc1)OCC[NH+](CC)CC	LocE_ZINC000000001185_rank1.pdb	310.887	2.964	-3.768	2	1	268.29	0.10284	13.67	-6.9763	0.57143	0.59082	0.70697	7	
ff}QB`MNlBHEHRdEREXcHhhdiMULhdlsfRpDEUM@A@@@	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F	LocE_ZINC000000001188_rank1.pdb	349.138	4.8613	-5.894	3	2	233.99	0.15368	41.13	-7.0725	0.59091	0.51436	0.69426	3	
fhq`b@IV\BHrJIKIRHsJcH@Jjfh@@	C(C)(C)(NC(=O)OCC)Cc1ccc(Cl)cc1	LocE_ZINC000000001189_rank1.pdb	255.744	3.4582	-3.724	3	1	202.6	0.17029	38.33	-13.33	0.70588	0.61081	0.60487	5	
